tiempo_dias,Caudal_Prod_Petroleo_bbl,Caudal_Iny_Agua_bbl,Prod_Acumulada_Petroleo,Prod_Acumulada_Gas,Prod_Acumulada_Agua,Iny_Acumulada_Agua
1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5999999046325684,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,12121.5940185644,0.0,121215.94325684068,107864658.87781288,0.2783406473761423,0.0
57.0,12132.116706137993,0.0,194008.63581567697,172473247.72412997,0.4941652721100412,0.0
61.0,17599.74586273121,0.0,264407.62540899514,234837465.9003285,0.7761028223918905,0.0
71.0,17861.81414535566,0.0,443025.7699337484,392465416.5544461,1.7545425631310392,0.0
81.0,18737.33707024001,0.0,630399.1344937552,557253610.1126554,3.05474015707883,0.0
91.0,12983.268917686084,0.0,760231.8359554027,671193874.8788698,4.0004983369806535,0.0
101.0,18426.06821704163,0.0,944492.5304106056,832469812.945764,5.644865093870847,0.0
111.0,13925.777713031594,0.0,1083750.3167545116,954142047.4126096,6.95083186627078,0.0
121.0,14049.685142482596,14022.55419114364,1224247.0975418142,1076656112.90425,8.256763772790606,140225.54498263306
125.21052551269533,19775.151240495008,42390.10290449837,1307510.9245670212,1149166729.2286923,9.016344338795124,318710.19073075044
131.0,19790.91108618165,42390.10290449837,1422089.852128486,1248771534.7680423,9.982730560506289,564126.5924547968
141.0,26759.655946938517,45127.83210684416,1689686.5098761644,1480592262.9228566,12.239114606625767,1015404.9380928116
151.0,31500.180060882903,46173.04939666024,2004688.2920578136,1752581023.0515854,14.98040956427456,1477135.4259170208
161.0,23986.92431620128,33551.361675939195,2244557.498365466,1959263076.345338,16.94234787876053,1812648.9689676927
166.0,31228.56342782685,40431.91098206613,2400700.2817214373,2093646401.314849,18.32002701830874,2014808.5975867435
171.0,31242.31317529623,40431.91098206613,2556911.859882705,2227949491.3616166,19.71790887341916,2216968.0296492074
181.0,31013.74550589403,47386.731037143705,2867049.259660105,2494112744.071513,22.40133396812661,2690835.297023891
191.0,30725.5321260601,52543.973541780586,3174304.7467653262,2757394885.013357,24.85829279976561,3216275.081580844
192.0,30741.812539581475,26328.444579183702,3205046.393460288,2784058305.923858,25.103256724388395,3242603.639794304
195.0,30738.65534940981,26328.444579183702,3297262.488498777,2864057609.210036,25.869376329971967,3321588.921321512
201.0,30734.822495971846,26328.444579183702,3481671.288341955,3024069211.5797367,27.52010554762905,3479559.484375928
211.0,36389.79234573495,54936.92099291909,3845569.469779824,3342744243.603199,30.73425382072061,4028928.854007345
221.0,30762.048654407416,45313.86370243557,4153189.962466291,3612746059.324719,33.337830801352546,4482067.263763147
231.0,47277.88168494139,48683.74038554301,4625968.699464592,4025935287.682726,38.09542335469385,4968904.907171917
237.6666717529297,28924.85266698772,49193.3655465496,4818800.931824906,4192862914.378955,39.83138127902127,5296860.358077795
241.0,28930.25490192152,49193.3655465496,4915235.131211027,4276317122.137727,40.67699209203666,5460838.476643907
251.0,12923.89040136422,31400.547369872373,5044474.231781255,4389066682.286818,41.684809476570926,5774843.913488271
256.0,39836.34145358509,25341.194590821902,5243655.635000711,4563940391.507879,43.57942590048874,5901549.792770882
261.0,39833.543593423245,25341.194590821902,5442823.279259107,4738730475.598196,45.686485755436536,6028255.672053493
271.0,49578.13120713902,29535.944023413867,5938604.640469644,5169474483.514107,52.33737207866315,6323615.357983365
281.0,49312.23007107661,56283.43803155883,6431726.984177164,5595333201.697406,59.23432003938306,6886449.64002066
291.0,42464.9633232087,61305.42810626405,6856376.482276597,5962676364.710806,64.9226201469284,7499504.129924674
301.0,46453.62778158487,82263.4768474705,7320912.815373986,6365752885.112601,70.76071307306623,8322139.045816818
311.0,51096.0855148179,79813.77368196208,7831873.455538399,6807411102.660147,76.99356874085031,9120276.721212506
321.0,52304.35263558091,88473.7866205993,8354917.608418328,7256597277.078797,82.98391984071604,10005014.083742246
331.0,52051.89412732136,84919.08532218981,8875436.402274102,7702402849.083591,88.61821607409078,10854205.366931677
341.0,51439.58964821253,105223.20258468948,9389832.06534528,8141048301.785626,93.23997715696046,11906437.245361133
351.0,55004.081921590165,101310.43660949642,9939872.872276396,8608577196.60559,97.52230502560246,12919541.78344311
354.0,55778.68685965965,104459.9733590673,10107209.356680514,8750533681.219584,98.7639262539093,13232922.170342203
355.0,55789.82916116042,104459.9733590673,10162999.191984069,8797844033.90424,99.17034394696216,13337381.775157671
358.0,55814.0240484876,104459.9733590673,10330441.030718584,8939695422.070131,100.32194072302502,13650760.589604074
361.0,55837.678405201725,104459.9733590673,10497954.41605061,9081477876.006626,101.4061751191106,13964140.97650317
366.0,55209.66168395455,100173.43660734563,10774002.417350717,9314647906.946714,103.03652466749136,14465008.042834423
371.0,55242.52348827047,100173.43660734563,11050214.739957187,9547654077.833317,104.51619362949366,14965875.10916568
381.0,54633.95972669965,99857.63773906634,11596554.779476505,10007247625.787125,106.86054841504811,15964451.75682165
391.0,54817.57429051567,103126.12807786751,12144730.657514311,10468385978.521055,108.66330486684014,16995713.406143926
401.0,52023.03716345666,89742.41811181365,12664960.906301014,10904341866.207218,110.05137778768004,17893137.316996753
411.0,51005.196520712736,91246.53667851652,13175012.66880916,11330879756.060492,111.1280601591537,18805603.31030604
421.0,53544.57555764364,100667.96683674357,13710458.756074836,11777354329.11125,111.91687782758984,19812282.80668646
429.0,51616.564284838736,96960.50421621503,14123391.122936107,12120730416.646029,112.36478066934464,20587965.857633248
431.0,51632.78634562348,96960.50421621503,14226657.236157969,12206554662.31637,112.46978920219264,20781887.01348312
437.0,41703.5798867822,27705.157623434105,14476878.488210108,12413713322.351906,3038.065363215788,20948118.84987076
441.0,41618.79028925381,27705.157623434105,14643352.48231239,12551813445.36226,5241.397132254781,21058939.025827385
451.0,45570.56967568286,0.0,15099058.707315044,12935113752.412054,5244.251425655352,21058939.025827385
461.0,27611.55676267371,33661.25523500763,15375175.110307274,13165601563.786943,5245.89720316823,21395552.40125817
471.0,44240.28391141786,27024.04605424173,15817576.813078688,13534969246.01292,5249.772285560343,21665792.54853853
481.0,47226.4821375553,39162.67753630544,16289842.53738606,13928711393.712572,5254.910397580953,22057418.181416426
491.0,49350.67838212623,67383.4982933896,16783348.952663723,14338249650.568466,5260.539517168387,22731253.471469983
501.0,47732.799619753634,87477.47813767397,17260676.402188253,14731860710.225328,5265.329432267098,23606029.346192736
511.0,56248.44481675737,101603.28749629456,17823161.599727813,15194500925.104675,5270.345848119857,24622061.79118815
521.0,56302.61458353533,84486.75296765227,18386187.720993597,15657524233.488388,5277.08866039795,25466929.615699552
531.0,50950.756488628256,45705.08501841491,18895695.41487013,16078240006.130833,5335.801878742251,25923980.287754297
536.0,47268.38554485309,49792.35638811549,19132036.627005577,16273539718.571177,5457.434319263624,26172942.00519974
541.0,47216.54681634389,49792.35638811549,19368119.95689945,16468734334.56342,5828.299359847498,26421903.72264519
551.0,41406.61052525625,62561.97750979813,19782186.062152013,16804813564.405975,58247.9166935644,27047522.895788625
561.0,39725.87972313363,59824.25137864901,20179444.22057444,17128867726.461182,94963.75956204656,27645765.66755563
571.0,37162.29044289223,81293.74035809109,20551068.25520374,17432743370.481342,116479.66660788404,28458701.69524044
581.0,36807.23246764373,95739.57455160208,20919140.119200677,17733453690.29585,122171.55224156092,29416098.95178521
591.0,43443.2838072669,55165.76814121781,21353572.631726496,18090290033.672665,129786.27725285877,29967756.240084223
596.0,58522.79493747873,86649.03512206634,21646187.20836844,18331001582.31587,135115.5896930478,30401001.55082721
601.0,58425.13088353049,86649.03512206634,21938312.75222301,18571207989.9666,141225.04751009002,30834246.86157019
611.0,39812.49975387439,76779.56650955675,22336437.33207901,18897340349.527767,153913.35255767245,31602044.062264096
621.0,32249.8714516056,64099.91609417643,22658936.37214191,19161247701.32887,165066.99291652147,32243041.82274018
631.0,58128.53927919434,95604.31905047376,23240221.814073,19639147242.430622,188326.9219853547,33199083.625064023
635.4444580078125,27852.559707372657,47042.551240482775,23364010.00738468,19740433096.734222,194339.26856384845,33408163.22486959
641.0,27835.060028775264,47042.551240482775,23518649.722523205,19867253997.71793,201788.09981608752,33669511.15217386
651.0,51453.01999122874,84580.94656936901,24033179.830299597,20290580230.52284,228559.3894559932,34515320.87584808
661.0,46610.28030987852,63433.2944308497,24499283.112505056,20674419580.645145,258239.45859650403,35149651.43690796
671.0,45064.55009956103,79091.60021335814,24949927.612290557,21045145606.21107,294385.158373695,35940569.98199238
676.0,51853.746660886376,79491.9368410393,25209196.75713534,21258669946.80728,315730.1226131564,36338029.41435945
681.0,51628.83064431891,79491.9368410393,25467341.598304987,21471294752.21331,338672.5268011846,36735488.84672652
691.0,52771.73962885321,82608.8636244208,25995058.29436068,21906113790.149067,392710.2812616935,37561576.868731394
701.0,51907.94713963098,87163.49127542703,26514137.50777647,22333478890.75512,465064.2840888956,38433212.55542722
711.0,57425.781915906766,97059.53188148256,27088397.23107747,22805877254.337017,586654.7290670711,39403805.83496746
721.0,51474.266529757486,77262.02079366773,27603139.619967345,23229782082.641136,699287.5990041272,40176427.32052195
731.0,55583.00249295003,85483.05530818427,28158967.05280685,23688626394.62624,802333.4705707439,41031256.63284034
741.0,52165.915374707605,85998.72151303098,28680628.23354373,24119074324.376537,922595.5369977836,41891246.73489552
751.0,51377.053941719,94490.26702980416,29194398.846669644,24542683074.515045,1069731.5078877008,42836149.2823457
761.0,47820.9214656636,95275.23418542148,29672606.869701978,24936374369.094646,1234419.39228789,43788901.51363683
771.0,46955.08355946246,95524.61535462269,30142156.9682094,25322600425.651203,1421693.004380216,44744147.65489827
781.0,39239.902776447845,78367.62088111514,30534556.247812003,25644878118.71273,1595387.3081332855,45527823.48288103
791.0,36847.1610954859,78071.74793679861,30903029.087245528,25947133243.307365,1773201.0448275318,46308539.95489652
801.0,27899.635009854373,30122.858919692822,31182026.223570418,26176489855.27852,1895405.581721275,46609768.42738797
811.0,41684.5169690823,70365.16957564277,31598870.852730628,26519438776.604893,2094010.8775855163,47313418.992944025
